SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
AD_ANALYTICS_BY_CAMPAIGN;CAMPAIGN_ID;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;CARD_CLICKS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;CARD_IMPRESSIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;CLICKS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;COMMENT_LIKES;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;COMMENTS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;COMPANY_PAGE_CLICKS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;CONVERSION_VALUE_IN_LOCAL_CURRENCY;DOUBLE;;Yes
AD_ANALYTICS_BY_CAMPAIGN;COST_IN_LOCAL_CURRENCY;DOUBLE;;Yes
AD_ANALYTICS_BY_CAMPAIGN;COST_IN_USD;DOUBLE;;Yes
AD_ANALYTICS_BY_CAMPAIGN;DAY;DATE_TIME;;Yes
AD_ANALYTICS_BY_CAMPAIGN;EXTERNAL_WEBSITE_CONVERSIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;FOLLOWS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;IMPRESSIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;LANDING_PAGE_CLICKS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;LIKES;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;ONE_CLICK_LEAD_FORM_OPENS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;ONE_CLICK_LEADS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;SHARES;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;TOTAL_ENGAGEMENTS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIDEO_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIDEO_FIRST_QUARTILE_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIDEO_MIDPOINT_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIDEO_THIRD_QUARTILE_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIDEO_VIEWS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_CLICKS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_IMPRESSIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_LIKES;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_SHARES;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_VIDEO_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_VIDEO_FIRST_QUARTILE_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_VIDEO_MIDPOINT_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_VIDEO_THIRD_QUARTILE_COMPLETIONS;INT64;;Yes
AD_ANALYTICS_BY_CAMPAIGN;VIRAL_VIDEO_VIEWS;INT64;;Yes
CAMPAIGN_GROUP_HISTORY;ID;INT64;;Yes
CAMPAIGN_GROUP_HISTORY;NAME;VARCHAR;;Yes
CAMPAIGN_GROUP_HISTORY;STATUS;VARCHAR;;Yes
CAMPAIGN_HISTORY;ACCOUNT_ID;INT64;;Yes
CAMPAIGN_HISTORY;CAMPAIGN_GROUP_ID;INT64;;Yes
CAMPAIGN_HISTORY;COST_TYPE;VARCHAR;;Yes
CAMPAIGN_HISTORY;CREATED_TIME;DATE_TIME;;Yes
CAMPAIGN_HISTORY;DAILY_BUDGET_AMOUNT;DOUBLE;;Yes
CAMPAIGN_HISTORY;DAILY_BUDGET_CURRENCY_CODE;VARCHAR;;Yes
CAMPAIGN_HISTORY;FORMAT;VARCHAR;;Yes
CAMPAIGN_HISTORY;ID;INT64;;Yes
CAMPAIGN_HISTORY;LOCALE_COUNTRY;VARCHAR;;Yes
CAMPAIGN_HISTORY;NAME;VARCHAR;;Yes
CAMPAIGN_HISTORY;OBJECTIVE_TYPE;VARCHAR;;Yes
CAMPAIGN_HISTORY;OPTIMIZATION_TARGET_TYPE;VARCHAR;;Yes
CAMPAIGN_HISTORY;RUN_SCHEDULE_END;DATE_TIME;;Yes
CAMPAIGN_HISTORY;RUN_SCHEDULE_START;DATE_TIME;;Yes
CAMPAIGN_HISTORY;STATUS;VARCHAR;;Yes
CAMPAIGN_HISTORY;TYPE;VARCHAR;;Yes
CAMPAIGN_HISTORY;UNIT_COST_AMOUNT;DOUBLE;;Yes
CAMPAIGN_HISTORY;UNIT_COST_CURRENCY_CODE;VARCHAR;;Yes
